id_str,user_id_str,in_reply_to_status_id_str,in_reply_to_user_id_str,created_at,in_reply_to_screen_name,source,user_name,user_screen_name,user_created_at,user_statuses_count,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_url,text,entities_hashtags,entities_urls,entities_user_mentions,retweeted_status_id
997091179144667137,2383036798,,,2018-05-17 12:27:16,,Twitter for Android,Richard Revett🏃‍♂️🏎️🐝,rrevett74,Tue Mar 04 17:06:06 +0000 2014,1878,"Big motorsport fan, #F1 #BTCC 
Also history, Big fan of Time Team and metal detecting. 
Keen runner for many years.
And interested in beekeeping 🐝","Harwich, England",False,107,277,,"RT @apimondiabees: Who else is looking forward to #WorldBeeDay on 20 May? 

#bees #beekeeping #pollinators #honey #apimondia https://t.co/M…","[{'text': 'WorldBeeDay', 'indices': [50, 62]}, {'text': 'bees', 'indices': [76, 81]}, {'text': 'beekeeping', 'indices': [82, 93]}, {'text': 'pollinators', 'indices': [94, 106]}, {'text': 'honey', 'indices': [107, 113]}, {'text': 'apimondia', 'indices': [114, 124]}]",[],"[{'screen_name': 'apimondiabees', 'name': 'Apimondia Bees', 'id': 3233034477, 'id_str': '3233034477', 'indices': [3, 17]}]",996742630204731392
997091174040129536,104852309,,,2018-05-17 12:27:15,,Twitter for iPhone,HilltopOutdoorCentre,HilltopNorfolk,Thu Jan 14 16:07:21 +0000 2010,2967,Outdoor Education Centre offering School Residential & Day Visits along with Team Reward Days & Birthday Parties. Winner of the EDP 2017 award for Customer Care,"Sheringham, Norfolk",False,1892,2009,https://t.co/kmqGgUmfSw,RT @Buzz_dont_tweet: 🐝 The #GreatBritishBeeCount is go! Download the app for #Android or #iPhone – search for ‘Great British Bee Count and…,"[{'text': 'GreatBritishBeeCount', 'indices': [27, 48]}, {'text': 'Android', 'indices': [77, 85]}, {'text': 'iPhone', 'indices': [89, 96]}]",[],"[{'screen_name': 'Buzz_dont_tweet', 'name': 'Buglife', 'id': 255489796, 'id_str': '255489796', 'indices': [3, 19]}]",997090887283953666
997091143019126784,840402367,,,2018-05-17 12:27:08,,Twitter for iPhone,the most dastardly species of lemming,Now_Viewing,Sat Sep 22 20:28:52 +0000 2012,3441,"view || 23 || ♀|| uk 🐍 Hi, I'm view and I am a miserable skeleton from the uk who practices dentistry.",England ,False,15,259,,RT @friends_earth: 🐝 The #GreatBritishBeeCount is go! Download the app for #Android or #iPhone – search for ‘Great British Bee Count’ or ch…,"[{'text': 'GreatBritishBeeCount', 'indices': [25, 46]}, {'text': 'Android', 'indices': [75, 83]}, {'text': 'iPhone', 'indices': [87, 94]}]",[],"[{'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [3, 17]}]",997024095127646210
997091072621862912,255489796,,,2018-05-17 12:26:51,,Twitter Web Client,Buglife,Buzz_dont_tweet,Mon Feb 21 13:35:56 +0000 2011,17110,"Buglife is the only organisation in Europe devoted to the conservation of all invertebrates everything from bees to beetles, and spiders to snails.",UK,True,40168,2082,http://t.co/DjTBLQqDxL,"RT @ecotricity: Great British Bee Count launches today! 

The annual survey, run by  @friends_earth  and  @buzz_dont_tweet lets you find ou…",[],[],"[{'screen_name': 'ecotricity', 'name': 'ecotricity', 'id': 16451669, 'id_str': '16451669', 'indices': [3, 14]}, {'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [85, 99]}, {'screen_name': 'Buzz_dont_tweet', 'name': 'Buglife', 'id': 255489796, 'id_str': '255489796', 'indices': [106, 122]}]",997062934818951168
997090887283953666,255489796,,,2018-05-17 12:26:07,,Twitter Web Client,Buglife,Buzz_dont_tweet,Mon Feb 21 13:35:56 +0000 2011,17110,"Buglife is the only organisation in Europe devoted to the conservation of all invertebrates everything from bees to beetles, and spiders to snails.",UK,True,40168,2082,http://t.co/DjTBLQqDxL,🐝 The #GreatBritishBeeCount is go! Download the app for #Android or #iPhone – search for ‘Great British Bee Count a… https://t.co/MUTRH0v7zs,"[{'text': 'GreatBritishBeeCount', 'indices': [6, 27]}, {'text': 'Android', 'indices': [56, 64]}, {'text': 'iPhone', 'indices': [68, 75]}]","[{'url': 'https://t.co/MUTRH0v7zs', 'expanded_url': 'https://twitter.com/i/web/status/997090887283953666', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]",[],
997090659055042560,386059277,,,2018-05-17 12:25:12,,Twitter Web Client,Friends of the Earth,foe_ni,Thu Oct 06 16:06:36 +0000 2011,9017,Friends of the Earth believes the environment is for everyone. We want a healthy planet and a good quality of life for all those who live on it.,Northern Ireland,False,2616,520,http://t.co/pJvnd6JbMm,"RT @friends_earth: 2/2 The benefits of cleaner air would be shared by everybody - clearer roads, more liveable cities and towns, and fewer…",[],[],"[{'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [3, 17]}]",997087181603618817
997090646384136193,33337346,,,2018-05-17 12:25:09,,Hootsuite,ecoPreserve,ecoPreserve,Sun Apr 19 23:17:06 +0000 2009,2241,"Helping organizations improve operations, reduce costs and achieve sustainability through data driven, efficiency focused, planning, reporting & certification.","Orlando, FL",False,458,547,http://t.co/qfVuahx75e,"As airports grow, new tenants swarm in #AIRPORTS #ECOPRESERVE #BEES https://t.co/BafQx3Ojzi https://t.co/OsAEcuEjJU","[{'text': 'AIRPORTS', 'indices': [39, 48]}, {'text': 'ECOPRESERVE', 'indices': [49, 61]}, {'text': 'BEES', 'indices': [62, 67]}]","[{'url': 'https://t.co/BafQx3Ojzi', 'expanded_url': 'http://ow.ly/Mv5c30jYseC', 'display_url': 'ow.ly/Mv5c30jYseC', 'indices': [68, 91]}]",[],
997090640344297473,4291402520,,,2018-05-17 12:25:08,,Twitter for Android,Santanos,santanos125,Thu Nov 19 15:59:17 +0000 2015,747,"Lic. Derecho. Amante de la filosofía, poesía. Interesado en teoría política. Libre pensador, ciudadano universal.",México,False,81,320,,"RT @friends_earth: 2/2 The benefits of cleaner air would be shared by everybody - clearer roads, more liveable cities and towns, and fewer…",[],[],"[{'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [3, 17]}]",997087181603618817
997090612888395776,386059277,,,2018-05-17 12:25:01,,Twitter Web Client,Friends of the Earth,foe_ni,Thu Oct 06 16:06:36 +0000 2011,9017,Friends of the Earth believes the environment is for everyone. We want a healthy planet and a good quality of life for all those who live on it.,Northern Ireland,False,2616,520,http://t.co/pJvnd6JbMm,"RT @friends_earth: 1/2 With repeated legal cases and tens of thousands of early deaths each year from #AirPollution in the UK, we ask: what…","[{'text': 'AirPollution', 'indices': [102, 115]}]",[],"[{'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [3, 17]}]",997086600151564289
997090581594673157,16884489,,,2018-05-17 12:24:54,,Twitter Web Client,Pete Riches,Pete_Riches,Tue Oct 21 11:44:31 +0000 2008,53720,Some of my RT's do not necessarily reflect my personal opinion. I'm just passing on what others think. OK with that? Oh good!,London,False,1042,2536,,"RT @friends_earth: 1/2 With repeated legal cases and tens of thousands of early deaths each year from #AirPollution in the UK, we ask: what…","[{'text': 'AirPollution', 'indices': [102, 115]}]",[],"[{'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [3, 17]}]",997086600151564289
